sub y
1 1145.7
1 749.8
1 687.6
1 430.2
1 899
1 805.1
1 628.9
1 483.1
1 493.3
1 596.8
2 613
2 462.9
2 662.9
2 894.1
2 650.9
2 446.9
2 516.3
2 817
2 616
2 417.7
3 510.1
3 604.1
3 807.3
3 599.7
3 696
3 -15.5
3 475.6
3 687.3
3 385.9
3 716.9
4 680
4 487.2
4 768.6
4 333.1
4 598.7
4 600.7
4 342.7
4 256.2
4 525.8
4 433.6
5 928
5 835.7
5 645.2
5 380.2
5 485.8
5 914.6
5 376
5 927.2
5 541.7
5 496.4
6 355.4
6 940
6 243.1
6 609.2
6 756.8
6 636.9
6 592.4
6 668.7
6 479.5
6 464.2
7 369.8
7 403
7 264.5
7 673.9
7 548.8
7 412.9
7 494.1
7 393.5
7 394.2
7 475
8 536.1
8 616.9
8 446.3
8 474.8
8 419.8
8 732.7
8 660.1
8 615
8 641.3
8 502.2
9 414.4
9 530.6
9 572.5
9 798.5
9 447.3
9 601.1
9 523.2
9 622.1
9 576.7
9 895.7
10 537.5
10 765.2
10 418.3
10 340.9
10 397
10 620.4
10 635.4
10 483.9
10 809.5
10 882.7
11 767.1
11 616.9
11 700.3
11 945.3
11 633.9
11 356.5
11 617.9
11 862.4
11 840.8
11 753.8
12 648
12 699.3
12 954.3
12 700.6
12 426.8
12 455.9
12 738
12 531.6
12 803.5
12 817
13 1019.3
13 728.6
13 611.5
13 691.4
13 191
13 494.5
13 815.7
13 673.2
13 766.4
13 471.3
14 508.9
14 607.2
14 509.5
14 748.1
14 404.5
14 895.4
14 840.5
14 407.7
14 827.5
14 190.3
15 732.2
15 600.4
15 130.2
15 606.1
15 592.3
15 290.9
15 780.3
15 467.3
15 823.3
15 502.8
16 667.2
16 194.3
16 197.3
16 834.5
16 447.1
16 754.1
16 556.3
16 632.5
16 962.3
16 324.4
17 499
17 583.7
17 593.3
17 712.8
17 1019
17 453.6
17 1089.2
17 609.1
17 845
17 476.5
18 399.8
18 657.1
18 79.6
18 491.6
18 419
18 477.4
18 859.4
18 337.9
18 880.2
18 641.8
19 717.2
19 843.2
19 454.7
19 409.1
19 463
19 728.3
19 428.5
19 314.9
19 1045.1
19 351.3
20 658.5
20 594.8
20 342.3
20 714
20 812.1
20 619
20 445.9
20 527.4
20 237.8
20 694
